0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Mo:3736.0,Nb:528.4,Ca:405.2,Fe:391.0,Fe:332.3,Ni:257.1,Pb:208.8,Pb:201.0,,,,,,,,,,,,,
Mo:2285.3,Nb:522.8,Ti:489.0,Zr:441.8,Ni:322.8,W_:168.9,W_:153.2,,,,,,,,,,,,,,
Ti:656.5,C_:615.8,Nb:509.2,Sb:435.3,Si:316.2,In:254.2,Sn:205.6,W_:178.6,Pb:170.9,Ta:150.1,,,,,,,,,,,
W_:1054.9,Ti:691.2,Nb:499.4,Fe:194.1,Zr:171.5,Pd:168.3,S :167.9,,,,,,,,,,,,,,
Ca:3961.3,Mo:687.9,Nb:499.1,Ni:325.6,W_:303.1,S :205.6,Au:203.9,V_:162.8,Ta:155.8,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,
Ti:6114.6,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:795.0,K :684.1,Nb:492.1,Bi:441.6,Zn:368.3,Ni:244.5,C_:234.3,Cu:229.5,,,,,,,,
Ti:764.2,Nb:488.4,Ta:197.8,,,,,,,,,,,,,,,,,,
Zr:3282.5,Nb:480.2,Sb:477.3,Sb:397.7,Pd:368.5,Mo:364.5,Ta:353.9,I_:228.6,Sn:224.6,Ni:220.1,W_:161.9,Zn:156.6,,,,,,,,,
Nb:477.9,Zr:306.5,Pd:297.4,S :239.1,Ni:238.4,Ti:216.9,K :190.3,S :167.5,In:167.2,I_:158.5,Zr:156.3,,,,,,,,,,
Ti:775.4,Cr:717.9,Nb:458.6,Ni:291.2,Fe:221.8,Al:199.0,Si:194.7,W_:178.8,In:165.2,,,,,,,,,,,,
Mo:1274.3,Nb:444.7,Ti:388.2,Zr:369.9,Ni:247.9,In:195.4,S :181.8,,,,,,,,,,,,,,
S :561.7,Nb:437.9,Ni:266.4,Mo:213.9,Zr:200.3,Sn:183.0,Si:158.1,,,,,,,,,,,,,,
S :1279.0,Ti:641.9,Fe:555.8,Nb:436.9,Ni:273.5,In:183.6,,,,,,,,,,,,,,,
V_:557.5,Nb:436.4,Ni:203.8,,,,,,,,,,,,,,,,,,
Ti:4247.0,Ca:481.3,S :438.2,Nb:434.9,Ni:197.3,Pt:167.4,,,,,,,,,,,,,,,
Ti:918.8,Sn:870.7,Nb:434.5,Ca:394.6,S :345.9,Ca:290.2,S :262.2,Ni:246.2,Pb:178.8,In:170.7,Zn:152.9,,,,,,,,,,
Nb:424.7,In:168.1,Ni:158.3,Sb:155.8,Si:150.9,,,,,,,,,,,,,,,,
