0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Ta:1117.2,C_:777.8,V_:758.9,Nb:718.8,W_:701.9,Fe:652.0,Zr:546.9,P :285.4,S :169.5,,,,,,,,,,,,
Cr:3150.5,Ta:915.5,V_:755.9,Ti:723.2,Zr:649.5,W_:406.1,S :246.4,Au:203.7,Fe:185.1,In:175.0,,,,,,,,,,,
Ta:1117.2,Cr:1030.3,Mo:1001.2,C_:777.8,V_:732.0,Nb:718.8,Pt:676.3,P :225.4,S :218.5,,,,,,,,,,,,
Zr:2176.0,W_:813.6,Ti:700.7,V_:687.8,Ta:321.7,S :182.3,Zn:155.4,,,,,,,,,,,,,,
Nb:2212.8,Cr:804.6,V_:686.6,S :310.2,Zr:281.2,Mo:275.1,Pt:176.3,Au:157.3,,,,,,,,,,,,,
Nb:1651.5,W_:1331.0,Mo:1096.5,Zr:970.0,Pt:935.2,Mo:690.0,V_:679.6,Pt:630.8,Ta:589.5,S :304.6,K_:274.6,Ti:236.3,K_:224.1,Fe:202.1,,,,,,,
Ti:2251.3,Nb:1414.5,W_:993.0,V_:668.8,Zr:552.3,C_:247.0,Zr:206.4,S :180.2,,,,,,,,,,,,,
Ta:3488.6,Cr:3072.4,W_:2761.0,Ti:2451.8,V_:662.7,Nb:517.7,Ni:382.1,Zr:359.0,S :345.9,,,,,,,,,,,,
Nb:2045.6,Zr:682.3,V_:653.2,Ta:324.5,,,,,,,,,,,,,,,,,
Nb:6615.0,Pb:4889.1,Zr:1360.2,Mo:1130.2,Cr:1095.4,V_:627.5,Pt:584.0,Co:298.7,S :229.7,Ag:216.8,P :201.7,Ni:164.1,,,,,,,,,
Ti:1774.3,Nb:1096.7,Ta:1013.1,W_:820.0,Pt:669.3,V_:627.1,Mo:558.5,S :397.1,,,,,,,,,,,,,
Ti:1891.1,Zr:1654.3,Ta:854.1,V_:610.0,S :526.4,P :385.2,K_:334.7,Pt:272.4,,,,,,,,,,,,,
Mo:630.0,V_:608.8,C_:468.7,Pt:411.3,Ta:260.3,S :171.4,K_:151.4,,,,,,,,,,,,,,
Cr:2258.7,W_:810.1,V_:602.3,Mo:522.9,Nb:416.5,Pt:244.1,S :191.1,,,,,,,,,,,,,,
Fe:3299.7,Co:1408.0,Nb:966.9,Cr:817.0,V_:596.2,Ta:346.8,K_:198.9,,,,,,,,,,,,,,
W_:699.4,V_:586.2,Mo:574.4,Zr:424.4,Ti:192.2,K_:177.4,P :172.6,S :155.3,,,,,,,,,,,,,
C_:2006.2,Ni:1477.2,V_:575.9,Ta:479.9,W_:311.6,Ti:309.5,,,,,,,,,,,,,,,
Cr:3603.9,V_:574.0,Mo:487.4,Ti:372.8,K_:348.2,Ta:298.1,C_:170.3,,,,,,,,,,,,,,
Zn:3828.4,Bi:2300.5,Ta:923.2,Ti:849.3,Nb:726.2,V_:569.7,Cr:471.1,Mo:343.7,Pt:206.4,,,,,,,,,,,,
Fe:4810.9,Au:3899.8,Mo:2545.1,Pt:1908.0,W_:1461.1,Zr:1287.9,Ta:1220.9,Ti:859.5,V_:566.4,S :346.4,K_:279.0,S :215.2,P :201.7,P :163.9,,,,,,,
