0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Au:2812.9,Nb:2308.3,Cr:2048.0,Cr:1231.3,Ti:514.2,S :306.3,P :199.8,Zn:184.9,Ta:167.8,,,,,,,,
Nb:2286.4,Ta:471.2,C_:344.7,W_:282.0,S :267.9,Ti:241.9,K_:222.6,Zr:182.7,Mo:159.0,,,,,,,,
Nb:2278.2,Mo:1606.3,Pt:979.6,Fe:679.8,S :253.1,P :167.6,,,,,,,,,,,
Cr:2709.5,Nb:2233.3,Ta:203.9,,,,,,,,,,,,,,
Mo:3635.6,Pt:2565.8,Nb:2226.8,W_:760.7,Ti:607.1,Au:406.9,S :355.2,In:275.6,Fe:253.6,P :242.6,Pb:233.0,V_:218.2,Ta:213.3,Ni:179.7,K_:167.4,,
Nb:2212.8,W_:925.2,V_:686.6,S :310.2,K_:303.4,Zr:281.2,Mo:275.1,Ta:274.7,Pt:176.3,Zr:167.0,Au:157.3,,,,,,
Mo:3208.0,Pt:2696.1,Ca:2689.2,Nb:2200.8,V_:2108.7,W_:1018.4,Zr:429.5,Au:408.8,S :289.7,Ti:215.6,K_:215.4,,,,,,
Nb:2197.4,W_:1581.3,Zr:573.7,S :439.1,P :354.1,K_:339.1,V_:297.1,Mo:271.0,Pt:229.6,,,,,,,,
Nb:2099.7,Mo:842.8,Ti:637.3,Pt:502.8,Cr:402.1,C_:360.0,K_:175.6,,,,,,,,,,
Nb:2079.3,Ti:1540.0,W_:679.1,S :275.2,Pt:208.7,Mo:156.1,,,,,,,,,,,
Nb:2057.6,Zr:1750.9,Ti:340.1,Mo:288.1,Ta:236.9,Cr:196.5,Ta:190.2,C_:187.2,,,,,,,,,
Mo:3710.3,Pt:2614.0,Cr:2242.4,Nb:2047.4,Ti:1638.2,Co:959.1,Zr:490.2,W_:211.8,P :190.8,V_:185.5,C_:152.3,,,,,,
Nb:2045.6,Mo:1499.5,Pt:903.2,V_:653.2,W_:571.9,Ta:324.5,,,,,,,,,,,
V_:3035.5,Nb:2043.2,Ta:1168.2,Ni:391.8,Zr:318.4,S :314.2,C_:155.7,,,,,,,,,,
Nb:2030.8,Ti:1289.6,Mo:850.5,Pt:713.3,Ta:438.4,W_:368.2,V_:319.0,Au:206.4,Zr:202.9,S :192.6,Ni:192.5,C_:181.3,,,,,
Nb:2017.8,Ti:815.9,Zr:503.5,S :198.8,,,,,,,,,,,,,
Cr:3669.4,Nb:2016.5,Fe:1265.7,Ta:958.5,Ta:851.3,Zr:749.2,Co:532.6,S :509.5,K_:492.6,P :321.5,Al:222.1,,,,,,
Mo:4516.0,Pt:4055.2,Nb:1965.0,Ti:1883.4,Ta:1303.0,Ca:1186.0,W_:1031.0,S :611.0,K_:369.1,P :254.8,Ni:203.6,Au:158.1,,,,,
Nb:1958.2,Ti:1096.9,Ta:570.0,W_:272.3,Cr:203.4,V_:201.1,Mo:156.5,,,,,,,,,,
Nb:1946.8,Mo:359.2,Zr:284.1,Pt:211.0,,,,,,,,,,,,,
Ta:3987.6,In:3243.5,Nb:1941.4,Cr:662.0,Mo:608.2,Pt:450.8,S :287.7,S :281.0,P :243.7,K_:204.8,P :168.1,,,,,,
Nb:1925.0,V_:1690.6,V_:1389.9,W_:1123.8,S :243.7,Ni:158.3,,,,,,,,,,,
Nb:1912.0,Ta:1568.1,Cr:831.1,W_:441.2,Co:363.9,Zr:285.0,,,,,,,,,,,
Nb:1907.4,Ta:393.1,,,,,,,,,,,,,,,
Ti:2556.1,Nb:1906.8,C_:539.1,S :405.0,Ta:342.5,Zr:283.9,P :208.7,K_:179.9,Pt:155.1,,,,,,,,
W_:2180.7,Nb:1892.8,Zr:364.9,Ta:271.4,Pt:183.4,K_:170.2,Mo:155.7,,,,,,,,,,
Fe:3478.8,Nb:1858.7,Zr:1148.5,Pt:352.9,,,,,,,,,,,,,
C_:2006.2,Nb:1855.2,S :182.3,,,,,,,,,,,,,,
Fe:1934.7,Nb:1845.2,C_:1206.5,Zr:1076.5,Cr:782.4,V_:401.1,,,,,,,,,,,
W_:6907.8,Ta:2413.9,Nb:1838.6,Zr:753.0,Mo:432.0,Pt:331.5,Cr:202.9,S :190.2,,,,,,,,,
Nb:1832.9,Zr:1581.1,W_:1047.4,S :882.5,K_:594.0,K_:569.6,P :508.1,P :371.7,Ta:217.5,,,,,,,,
Mo:8651.9,Pt:7653.7,C_:3028.4,Zr:1914.0,Nb:1825.0,Co:1552.6,Cr:916.5,S :263.7,Au:162.4,P :155.4,,,,,,,
Nb:1811.2,Cr:1386.4,Ta:1302.1,W_:1285.6,Au:899.4,Ni:277.7,Pb:266.2,V_:235.8,,,,,,,,,
Cr:2936.4,Co:2261.6,Nb:1777.5,Zr:1128.7,W_:879.5,S :211.1,Ta:203.9,Cd:150.9,,,,,,,,,
Nb:1752.8,Ta:1106.6,Mo:346.3,Pt:290.7,W_:216.8,,,,,,,,,,,,
W_:1758.4,Nb:1742.6,Mo:613.9,Ti:602.4,Mo:546.6,Ta:467.5,S :346.1,Pt:295.9,V_:213.0,Co:171.7,,,,,,,
Nb:1739.6,Mo:1132.6,Cr:851.2,Pt:750.9,Ti:431.3,C_:293.5,K_:191.3,S :189.8,,,,,,,,,
Nb:1732.0,Fe:1522.1,Ti:853.2,Mo:355.1,Zr:343.0,Ta:182.5,,,,,,,,,,,
Cr:4845.1,Nb:1731.8,Mo:1284.1,Pt:1056.7,S :882.5,K_:594.0,P :508.1,Fe:270.6,Ta:217.5,Ta:180.9,,,,,,,
Mo:4839.7,Pt:3616.1,Zr:2297.5,Nb:1716.4,Cr:1705.9,V_:1670.3,K_:512.2,S :245.2,,,,,,,,,
Nb:1708.8,Mo:1311.1,Co:847.8,Zr:748.5,Pt:701.1,S :440.7,K_:419.1,Ni:400.9,,,,,,,,,
Nb:1708.4,Ta:896.0,S :712.0,S :512.6,K_:271.9,P :262.6,P :207.1,Au:181.9,,,,,,,,,
Nb:1707.5,V_:1580.2,Zr:1148.7,Ti:724.8,S :320.8,Co:311.4,Ni:292.6,Ta:228.6,K_:180.4,,,,,,,,
Pb:2050.9,Nb:1705.0,Fe:373.6,V_:328.1,S :216.9,Co:212.7,Cd:174.7,Au:171.9,Zr:162.2,,,,,,,,
Nb:1701.8,Ti:612.6,S :280.3,Ca:270.7,P :212.0,,,,,,,,,,,,
Fe:2322.7,Nb:1682.9,Zr:1202.1,Ta:601.7,Mo:521.5,Pt:414.9,W_:302.6,Ti:282.9,S :249.1,K_:243.2,Ni:161.2,,,,,,
Mo:4528.2,Pt:3881.6,Nb:1680.6,W_:1104.7,,,,,,,,,,,,,
Nb:1667.2,V_:1529.4,Ta:1504.4,Mo:872.2,Cr:569.3,Pt:557.3,Zr:511.8,K_:404.0,C_:292.0,Ni:239.1,S :225.6,,,,,,
Nb:1651.5,Mo:1096.5,Pt:935.2,V_:679.6,Ta:589.5,Ti:236.3,K_:224.1,Fe:202.1,Fe:192.0,,,,,,,,
Co:7090.6,Nb:1640.8,Ta:322.9,Ni:184.6,K_:163.8,Ti:162.5,S :154.6,,,,,,,,,,
W_:2469.7,Fe:2206.3,Zr:1669.3,Nb:1615.1,Cr:220.6,Au:170.2,,,,,,,,,,,
Fe:6447.1,K_:5908.5,W_:4126.0,Zr:1798.8,Nb:1614.6,Co:1073.9,Mo:524.9,S :509.1,Pt:320.9,P :307.0,Pb:236.1,Ta:162.2,,,,,
Mo:8248.6,Pt:7078.4,Fe:2394.0,Pd:1812.2,Nb:1613.0,Cr:1267.0,V_:394.0,Ta:178.7,,,,,,,,,
Nb:1604.5,Ta:1188.4,V_:768.0,Cr:451.5,C_:324.1,W_:285.9,Zr:244.5,Fe:238.9,Pt:234.2,S :220.2,Mo:161.5,,,,,,
Ti:2203.6,Nb:1575.1,V_:1353.1,W_:949.2,Fe:824.5,Mo:653.5,Ta:575.4,Pt:524.2,,,,,,,,,
C_:1623.7,Nb:1570.7,W_:596.7,S :331.3,S :201.9,Al:182.9,Zr:161.9,P :160.6,,,,,,,,,
V_:3672.9,Nb:1564.6,Cr:1006.1,Ta:951.7,W_:595.2,W_:591.1,Ni:474.8,Zr:373.8,S :360.2,Pt:258.6,,,,,,,
Fe:4135.4,Nb:1560.6,W_:827.2,Ta:440.0,C_:263.3,Ni:247.9,Ta:194.8,Au:193.1,K_:186.2,,,,,,,,
V_:2886.5,W_:2058.6,Nb:1551.8,S :436.1,In:402.0,K_:355.1,Ta:275.7,Mo:165.7,,,,,,,,,
W_:4664.5,Fe:4097.4,V_:2343.2,Mo:1571.3,Nb:1521.8,Pt:1252.2,Ta:843.9,,,,,,,,,,
Ti:4070.7,Nb:1519.4,C_:541.7,Ta:313.0,Ni:251.6,,,,,,,,,,,,
Nb:1514.2,W_:636.6,Cr:604.2,V_:513.3,S :372.4,Ti:347.7,Ni:291.5,K_:223.3,Fe:172.8,Zr:168.3,,,,,,,
Nb:1491.1,S :289.8,P :206.2,,,,,,,,,,,,,,
Nb:1477.8,W_:796.4,Ti:303.6,Ta:283.1,Co:279.9,Ni:213.8,Ni:193.2,S :185.2,,,,,,,,,
Nb:1462.3,Ta:1020.7,Mo:604.6,Pt:376.8,,,,,,,,,,,,,
V_:2732.3,C_:1654.6,Cr:1580.6,Nb:1461.8,W_:461.9,Ti:449.9,Zr:337.5,K_:283.1,S :181.3,Au:166.2,,,,,,,
Nb:1443.6,Zr:1324.6,W_:411.3,Ta:401.7,S :388.2,Pt:298.1,P :271.1,Mo:196.6,Mo:166.5,,,,,,,,
W_:4002.8,Ti:2021.5,Nb:1428.7,Zr:1323.2,Cr:836.3,Ta:246.9,,,,,,,,,,,
Nb:1420.2,Mo:842.8,Ti:637.3,Ta:552.2,Pt:502.8,Zr:452.3,W_:237.6,S :185.7,,,,,,,,,
Cr:2873.0,W_:1422.5,Nb:1419.3,Ta:960.5,Mo:432.7,K_:388.9,Pt:351.5,S :337.2,Ti:241.1,Zr:197.1,,,,,,,
Mo:5194.2,Pt:4102.4,Fe:2510.0,Nb:1417.0,Ti:223.5,P :211.8,Cr:199.6,K_:160.5,,,,,,,,,
Ti:2251.3,Nb:1414.5,W_:993.0,V_:668.8,Zr:552.3,C_:247.0,Zr:206.4,S :180.2,,,,,,,,,
