0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Ti:1449.6,Zr:1261.9,Fe:1044.7,Mo:650.8,Pt:495.4,Cr:489.2,Ta:369.2,S :160.1,,,,,,,
Mo:638.2,Ag:575.3,Fe:396.6,Zr:298.2,S :227.0,,,,,,,,,,
Ta:1280.3,Mo:635.8,C_:522.9,Pt:497.7,Zr:363.5,W_:194.6,,,,,,,,,
Zr:1513.4,V_:1173.1,K_:1098.8,W_:741.6,Mo:635.0,Nb:629.4,Ti:559.9,Pt:433.2,Ni:173.8,,,,,,
Mo:630.0,V_:608.8,C_:468.7,Pt:411.3,Ta:260.3,S :171.4,K_:151.4,,,,,,,,
Nb:3448.1,V_:2350.1,Ta:1466.7,Cr:1377.0,Mo:617.9,Pt:400.0,Ti:309.6,S :300.5,In:242.0,Zr:217.0,Au:193.1,,,,
W_:4182.6,Cr:2806.2,Ti:2267.7,Mo:616.6,Pt:478.0,Nb:440.8,Zr:330.5,Ta:279.6,V_:249.5,C_:186.9,S :177.5,,,,
Nb:1742.6,Mo:613.9,Pt:295.9,,,,,,,,,,,,
Ta:3987.6,In:3103.2,Nb:1941.4,W_:1483.2,Ti:1226.1,Cr:662.0,Mo:608.2,Pt:450.8,S :281.0,P :243.7,K_:204.8,,,,
Nb:1462.3,Ta:1020.7,Mo:604.6,Pt:376.8,C_:292.0,S :225.6,,,,,,,,,
Nb:2868.5,Ta:2714.4,W_:2646.1,W_:1776.7,Pt:653.5,Mo:591.0,Cr:521.9,Pt:497.8,S :496.0,S :483.0,K_:442.3,K_:348.8,P :276.8,P :203.3,
Co:3406.7,Ni:3238.7,Fe:2427.5,Pd:2319.9,Pb:1918.9,W_:894.4,Mo:587.2,Ta:508.1,V_:343.6,Pt:320.2,S :163.8,,,,
Ta:670.0,V_:586.2,Mo:574.4,Pt:421.2,S :288.6,Zr:287.1,P :173.5,P :172.6,S :155.3,,,,,,
Ni:3582.5,Mo:570.0,Bi:331.4,Pt:324.3,Ti:164.6,S :157.9,,,,,,,,,
