0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Cr:2936.4,Co:2261.6,Nb:1777.5,Zr:1128.7,W_:879.5,Mo:536.5,Pt:319.5,S :211.1,Cd:150.9,,,,,,
Cr:954.2,W_:871.5,V_:788.2,Zr:686.5,V_:434.4,S :288.2,Co:184.4,,,,,,,,
Nb:3486.3,Sn:1774.6,W_:869.1,V_:798.9,Au:210.7,,,,,,,,,,
Pd:2163.9,Zn:1171.4,W_:855.5,Pt:634.5,S :199.4,,,,,,,,,,
Cr:1022.6,W_:854.6,Zr:694.8,Fe:492.8,V_:360.4,S :352.0,Ta:335.3,K_:253.5,P :202.8,,,,,,
Zr:3760.0,Nb:2579.1,W_:840.6,K_:565.4,Pd:478.6,S :234.0,,,,,,,,,
Nb:1283.3,W_:834.5,Co:670.8,V_:451.2,Pt:195.4,Ti:150.1,,,,,,,,,
V_:2198.2,Nb:1560.6,W_:827.2,Zr:815.2,C_:263.3,Ni:247.9,Ta:194.8,Au:193.1,K_:186.2,,,,,,
Ti:1774.3,Nb:1096.7,Ta:1013.1,W_:820.0,Pt:669.3,V_:627.1,Mo:558.5,S :397.1,,,,,,,
Zr:2176.0,W_:813.6,Ti:700.7,V_:687.8,Ta:321.7,S :182.3,Zn:155.4,,,,,,,,
Cr:2258.7,W_:810.1,V_:602.3,Mo:522.9,Nb:416.5,Pt:244.1,S :191.1,,,,,,,,
Ca:9249.6,Ge:3249.6,C_:2173.8,Zr:2065.2,Ti:1179.5,Cr:1011.2,W_:808.7,Mo:437.2,S :424.9,K_:405.0,P :366.4,Fe:267.3,V_:246.6,Pt:163.9,
Fe:1003.4,W_:805.8,Mo:283.8,K_:208.9,S :189.3,Pt:180.1,P :154.9,,,,,,,,
Cr:2399.1,V_:1364.2,Ti:1217.6,Zr:1036.4,W_:799.0,Nb:717.6,S :177.6,Co:168.8,Ta:162.7,,,,,,
Zn:1720.9,Nb:1477.8,Mo:1291.0,Pt:829.0,W_:796.4,Ti:303.6,Ta:283.1,Co:279.9,Ni:213.8,S :185.2,Ag:150.5,,,,
Pd:2778.1,Nb:2331.3,C_:1082.1,W_:779.8,Ta:466.4,S :395.8,P :249.4,Ca:242.1,K_:237.7,Pt:189.4,Mo:162.6,,,,
W_:773.4,Fe:769.6,Zr:720.3,V_:353.6,V_:352.6,C_:335.8,Ti:227.6,S :196.6,Mo:157.1,,,,,,
