0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Ni:7018.0,Fe:4046.1,Nb:1184.9,W_:665.9,Ta:477.9,Ti:279.4,K_:201.8,Au:159.8,S :154.8,,,,,,
Co:992.8,Ta:458.9,Bi:405.3,In:326.3,Zn:283.7,Nb:270.8,K_:201.7,W_:175.3,,,,,,,
Pd:602.1,Nb:502.8,K_:201.0,Fe:199.9,,,,,,,,,,,
V_:1553.7,Nb:943.9,Ta:863.1,Ti:289.8,S :242.5,K_:200.9,,,,,,,,,
W_:2179.9,Mo:1137.7,Pt:1050.4,Ta:429.7,S :368.9,In:256.2,Zr:249.9,K_:200.0,Nb:179.6,,,,,,
V_:596.2,Ta:346.8,K_:198.9,Pt:183.4,Mo:155.7,,,,,,,,,,
Nb:3274.6,Cd:3169.5,C_:1003.8,Nb:765.9,Zr:351.0,S :272.9,Ti:270.5,P :202.4,K_:198.6,Pt:193.2,,,,,
Zr:1794.8,Nb:351.2,S :349.4,K_:195.6,,,,,,,,,,,
Nb:6372.1,Cr:1391.3,Zr:893.7,Pt:604.5,C_:537.3,Ta:330.7,S :249.4,K_:195.0,W_:183.6,P :157.8,,,,,
Cr:2371.3,Ti:1244.7,Nb:1155.4,Ta:271.9,Pt:256.6,K_:194.9,S :191.5,P :170.0,Zr:165.1,,,,,,
W_:3056.2,Mo:1379.8,Ta:905.9,Pt:848.5,Nb:698.4,P :329.5,Zr:239.0,K_:193.0,,,,,,,
Ti:1730.8,Ta:922.3,W_:441.1,Zr:380.9,S :274.0,K_:191.6,V_:183.0,,,,,,,,
Nb:1739.6,Mo:1132.6,Cr:851.2,Pt:750.9,Ti:431.3,C_:293.5,Ta:263.2,K_:191.3,S :189.8,,,,,,
Nb:2888.7,V_:1606.2,W_:914.8,Zr:700.7,Ti:393.1,K_:190.7,,,,,,,,,
Co:769.5,Zr:382.3,S :198.4,K_:190.0,Sn:154.6,,,,,,,,,,
Nb:479.7,Zr:367.0,Ta:321.4,W_:199.2,K_:190.0,Ti:184.4,,,,,,,,,
Nb:3075.9,Ni:1541.9,Ni:1447.6,Ta:1360.3,Fe:1283.3,V_:517.6,S :514.3,Ti:401.7,Cr:357.9,P :303.2,Pt:215.6,Pb:211.6,K_:188.5,Mo:156.6,
W_:1456.5,Mo:1061.5,Pt:832.3,Nb:594.1,Ti:548.6,S :478.9,Fe:374.9,P :223.8,K_:188.5,,,,,,
V_:2198.2,Nb:1560.6,W_:827.2,Zr:815.2,C_:263.3,Ni:247.9,Ta:194.8,Au:193.1,K_:186.2,,,,,,
Mo:4705.4,Pt:3596.8,V_:2151.1,W_:1001.1,Fe:656.6,S :286.1,Ta:261.2,P :184.5,K_:183.7,,,,,,
Ni:1070.3,Co:300.9,Nb:289.8,K_:182.0,Ti:177.6,S :174.6,Ag:170.4,,,,,,,,
Nb:1707.5,V_:1580.2,Zr:1148.7,Mo:1061.5,Pt:832.3,Ti:724.8,S :320.8,Co:311.4,Ni:292.6,Ta:228.6,K_:180.4,,,,
Ti:2556.1,Nb:1906.8,C_:539.1,S :405.0,Ta:342.5,Zr:283.9,P :208.7,K_:179.9,Pt:155.1,,,,,,
Pd:1127.3,Cd:795.4,In:626.4,Nb:417.8,Ta:384.3,Zr:303.4,Cr:226.1,W_:226.1,K_:178.8,Co:177.9,S :176.1,,,,
Fe:3478.8,W_:2037.7,Cr:1627.5,Zr:1148.5,K_:178.0,,,,,,,,,,
Cr:2351.2,W_:699.4,V_:586.2,Zr:424.4,C_:311.6,Ti:192.2,K_:177.4,P :172.6,S :155.3,,,,,,
W_:1731.7,Pb:1572.5,Co:1485.1,Ti:570.4,V_:399.1,Ta:281.6,K_:176.2,,,,,,,,
Nb:3486.3,Cr:1679.4,Fe:1318.2,V_:798.9,Au:210.7,K_:176.1,,,,,,,,,
Nb:2099.7,Mo:842.8,Ti:637.3,Pt:502.8,Cr:402.1,C_:360.0,K_:175.6,,,,,,,,
Mo:2433.9,Pt:1750.3,W_:1148.7,Co:1028.4,Zr:1024.1,S :543.1,Ta:322.7,Cr:314.3,Fe:301.5,P :208.9,K_:174.5,Au:159.1,,,
Nb:2953.7,V_:2657.2,Zr:1019.3,Ta:500.6,Ta:465.5,Ti:298.7,S :226.7,K_:174.0,,,,,,,
Mo:839.1,Cd:795.4,Pt:523.9,Sn:490.7,Nb:430.6,P :213.1,Co:177.9,K_:173.3,Ag:172.4,S :163.0,,,,,
Ta:2446.6,Cr:1895.9,V_:798.3,Co:721.2,W_:536.2,Mo:508.7,Pt:506.9,Nb:356.1,S :318.4,Zr:251.5,K_:172.2,In:165.9,,,
Ni:4208.0,W_:2180.7,Nb:1892.8,V_:1220.5,Zr:364.9,Ta:271.4,K_:170.2,,,,,,,,
Fe:2550.2,W_:2514.6,Co:2055.2,Mo:317.0,Au:284.7,S :199.3,Pt:197.0,K_:169.4,,,,,,,
Fe:656.6,Nb:431.3,Ti:297.5,Ta:261.2,S :257.3,P :252.9,P :184.5,K_:167.7,,,,,,,
Mo:3635.6,Pt:2565.8,Nb:2226.8,W_:760.7,Ti:607.1,Au:406.9,S :355.2,In:275.6,Fe:253.6,P :242.6,Pb:233.0,V_:218.2,Ta:213.3,Ni:179.7,K_:167.4
Zr:657.6,Ti:528.6,Cr:474.3,S :176.7,K_:167.0,,,,,,,,,,
